type,strike,bid,ask
call,70.00,33.20,33.90
call,75.00,28.60,29.30
call,80.00,24.10,24.80
call,85.00,19.90,20.60
call,90.00,15.80,16.50
call,95.00,9.40,10.10
call,100.00,7.30,7.90
call,105.00,4.20,4.80
call,110.00,2.60,3.20
call,115.00,1.50,2.00
call,120.00,0.80,1.30
call,125.00,0.40,0.80
call,130.00,0.20,0.50
put,70.00,0.30,0.70
put,75.00,0.60,1.10
put,80.00,1.10,1.60
put,85.00,1.90,2.40
put,90.00,2.80,3.30
put,95.00,3.10,3.60
put,100.00,5.20,5.80
put,105.00,9.10,9.80
put,110.00,12.40,13.10
put,115.00,16.30,17.00
put,120.00,20.60,21.30
put,125.00,25.20,25.90
put,130.00,29.90,30.60
